State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
CO,66,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Somewhat Agree,Yes,Don't Know/Refused,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
AZ,37,Female,35-44,Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,Yes,Yes,Suburb,Lack of effort,No
CO,24,Male,18-24,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,Yes,Suburb,Circumstances beyond their control,No
NM,33,Male,25-34,Strong Republican,Strong Liberal,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Yes,Small Town,Don't Know/Refused,Yes
CA,22,Female,18-24,Not very Strong Republican,Strong Conservative,Graduate degree,,Latino,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
CA,68,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,Suburb,Lack of effort,Don't Know/Refused
CA,47,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,High school or less,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,City,Circumstances beyond their control,Yes
UT,37,Female,35-44,Not very Strong Republican,Moderate,College degree,,White,,Strongly Disapprove,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,Small Town,Circumstances beyond their control,No
CA,39,Male,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
AZ,35,Male,35-44,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Disagree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,City,Lack of effort,Yes
CA,66,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Somewhat Disagree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
ID,63,Female,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,No,Yes,Lack of effort,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
CA,55,Female,55-64,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,City,Circumstances beyond their control,Yes
NV,72,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Don't Know/Refused,Circumstances beyond their control,No,Yes,Yes,Yes,No,City,Circumstances beyond their control,Don't Know/Refused
CA,76,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,No,No,Yes,Suburb,Don't Know/Refused,Yes
CA,70,Female,65+,Strong Republican,Not Very Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
NV,65,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
CA,78,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Don't Know/Refused,No,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
LA,52,Female,45-54,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,Yes,Small Town,Circumstances beyond their control,Yes
NY,56,Female,55-64,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,No,No,No,Suburb,Lack of effort,No
CA,60,Male,55-64,Strong Republican,Strong Conservative,College degree,,Latino,,Somewhat Approve,More suspicious,Somewhat Agree,No,No,Lack of effort,No,Yes,No,No,No,Suburb,Lack of effort,No
OR,60,Female,55-64,Not very Strong Republican,Moderate,College degree,,White,,Don't Know/Refused,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,No,Don't Know/Refused,Yes,No,Yes,City,Don't Know/Refused,Don't Know/Refused
CO,49,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
NV,49,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,No,No,Yes,Suburb,Lack of effort,Don't Know/Refused
UT,63,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
CA,35,Female,35-44,Strong Republican,Strong Conservative,Graduate degree,,Asian,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
CA,22,Female,18-24,Not very Strong Republican,Moderate,Some college,,Latino,,Somewhat Disapprove,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,No,No,No,No,City,Lack of effort,Yes
CA,58,Female,55-64,Strong Republican,Strong Conservative,Graduate degree,,Other,"White, Native American",Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,No,No,No,City,Circumstances beyond their control,Yes
CO,51,Male,45-54,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Disapprove,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,No,Suburb,Circumstances beyond their control,No
AZ,45,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Neither Approve nor Disapprove,More suspicious,Somewhat Agree,No,No,Circumstances beyond their control,No,No,No,Yes,No,City,Circumstances beyond their control,No
NC,23,Female,18-24,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
OH,69,Male,65+,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Suburb,Lack of effort,Yes
FL,56,Male,55-64,Not very Strong Republican,Not very strong Liberal,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
NY,35,Male,35-44,Strong Republican,Strong Liberal,Some college,,White,,Strongly Approve,More suspicious,Strongly Disagree,No,Yes,Lack of effort,Yes,Yes,Yes,No,No,City,Circumstances beyond their control,Yes
CA,54,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,No,No,No,No,Yes,City,Circumstances beyond their control,No
OH,21,Female,18-24,Strong Republican,Strong Conservative,College degree,,Latino,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,No,No,No,No,City,Lack of effort,Yes
CA,49,Male,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,Yes,City,Don't Know/Refused,Yes
NM,82,Male,65+,Not very Strong Republican,Moderate,High school or less,,White,,Strongly Disapprove,More suspicious,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,No,Small Town,Lack of effort,Yes
CA,29,Female,25-34,Strong Republican,Strong Conservative,College degree,,Don't Know/Refused,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,Yes,Yes,Suburb,Lack of effort,Yes
NC,28,Female,25-34,Not very Strong Republican,Moderate,Some college,,White,,Strongly Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,City,Circumstances beyond their control,No
FL,45,Male,45-54,Strong Republican,Moderate,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Don't Know/Refused,Yes
FL,46,Female,45-54,Strong Republican,Moderate,College degree,,Black,,Neither Approve nor Disapprove,More trusting,Strongly Disagree,No,Yes,Circumstances beyond their control,No,No,No,Yes,Yes,City,Circumstances beyond their control,No
NC,33,Male,25-34,Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,Yes,No,City,Lack of effort,Don't Know/Refused
FL,48,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
FL,44,Male,35-44,Not very Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,No,No,Yes,City,Lack of effort,Yes
FL,60,Male,55-64,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,Yes,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
NC,54,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
PA,47,Female,45-54,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
CA,19,Male,18-24,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,No,No,Yes,City,Circumstances beyond their control,No
CA,26,Female,25-34,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Disapprove,Don't Know/Refused,Strongly Agree,Yes,Don't Know/Refused,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,No,No,No,City,Circumstances beyond their control,Yes
AZ,67,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Don't Know/Refused,Yes
AZ,50,Female,45-54,Not very Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Don't Know/Refused,Lack of effort,Don't Know/Refused,Don't Know/Refused,No,No,Yes,Small Town,Lack of effort,Don't Know/Refused
AZ,49,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,Asian,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,Yes,No,City,Don't Know/Refused,Don't Know/Refused
NV,59,Female,55-64,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,Don't Know/Refused,Strongly Agree,No,Yes,Don't Know/Refused,No,Yes,No,No,Don't Know/Refused,City,Don't Know/Refused,No
NV,78,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,No,Lack of effort,No,Yes,Yes,No,No,Small Town,Lack of effort,Yes
NM,61,Male,55-64,Not very Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,No,Yes,Lack of effort,No,Yes,No,Yes,No,Small Town,Lack of effort,Yes
PA,48,Male,45-54,Strong Republican,Not Very Strong Conservative,College degree,,Other,Native American,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,No,No,No,Yes,City,Circumstances beyond their control,Yes
CO,72,Male,65+,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,Yes,No,Yes,City,Circumstances beyond their control,No
AZ,50,Male,45-54,Not very Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,No,No,City,Lack of effort,Don't Know/Refused
CA,40,Female,35-44,Strong Republican,Moderate,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,Yes,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
CA,77,Other,65+,Strong Republican,Not Very Strong Conservative,College degree,,Don't Know/Refused,,Strongly Approve,More suspicious,Somewhat Agree,No,Yes,Circumstances beyond their control,No,No,No,No,No,City,Don't Know/Refused,Yes
CA,63,Female,55-64,Strong Republican,Moderate,High school or less,,White,,Don't Know/Refused,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,No,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
AZ,49,Male,45-54,Strong Republican,Not Very Strong Conservative,Graduate degree,,Latino,,Somewhat Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,No,Yes,No,No,No,Small Town,Circumstances beyond their control,No
AZ,49,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,No,No,Suburb,Don't Know/Refused,Yes
CA,55,Female,55-64,Not very Strong Republican,Moderate,Some college,,White,,Neither Approve nor Disapprove,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Don't Know/Refused,No,No,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
AZ,60,Male,55-64,Strong Republican,Strong Conservative,College degree,,Don't Know/Refused,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,Yes,Don't Know/Refused,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
CA,57,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Don't Know/Refused,No,No,Small Town,Circumstances beyond their control,Yes
CO,59,Male,55-64,Not very Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,No,Yes,No,No,Yes,City,Don't Know/Refused,Yes
CA,72,Female,65+,Not very Strong Republican,Moderate,Graduate degree,,Asian,,Strongly Approve,More trusting,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
OR,31,Male,25-34,Strong Republican,Don't Know/Refused,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,City,Lack of effort,Don't Know/Refused
CA,83,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,Yes,No,Small Town,Circumstances beyond their control,No
WY,52,Male,45-54,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Don't Know/Refused,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
CA,63,Male,55-64,Not very Strong Republican,Moderate,Graduate degree,,Asian,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,Yes,Yes,Small Town,Lack of effort,No
UT,84,Female,65+,Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Disagree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,Yes,No,Small Town,Circumstances beyond their control,Yes
CA,59,Female,55-64,Not very Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Don't Know/Refused,Yes,No,Yes,Small Town,Lack of effort,Yes
CA,50,Female,45-54,Strong Republican,Moderate,College degree,,Asian,,Somewhat Approve,More trusting,Strongly Agree,No,Yes,Don't Know/Refused,Yes,No,No,Don't Know/Refused,No,Small Town,Lack of effort,Don't Know/Refused
NY,35,Male,35-44,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Don't Know/Refused,No,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,No
TX,61,Female,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
SD,55,Male,55-64,Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,No
TX,41,Female,35-44,Not very Strong Republican,Not Very Strong Conservative,Some college,,Black,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
FL,69,Female,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Lack of effort,Yes,Yes,Don't Know/Refused,No,Yes,Small Town,Lack of effort,Yes
TX,65,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Neither Approve nor Disapprove,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Don't Know/Refused,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
IN,79,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Don't Know/Refused,More suspicious,Somewhat Agree,No,Yes,Circumstances beyond their control,No,Don't Know/Refused,No,No,No,Small Town,Don't Know/Refused,Yes
FL,62,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,Yes
MN,69,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
NC,76,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Don't Know/Refused,More trusting,Somewhat Agree,Don't Know/Refused,Yes,Don't Know/Refused,Yes,Don't Know/Refused,Don't Know/Refused,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
WV,71,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,No,Yes,Yes,Yes,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
IL,60,Male,55-64,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Don't Know/Refused,No,Yes,Yes,Yes,Yes,City,Don't Know/Refused,Don't Know/Refused
CT,60,Male,55-64,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,Yes,Suburb,Circumstances beyond their control,No
TX,56,Female,55-64,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Approve,More suspicious,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,No,No,No,No,No,Small Town,Circumstances beyond their control,Yes
NV,47,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,City,Circumstances beyond their control,Yes
CA,63,Other,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,Yes,Yes,Suburb,Don't Know/Refused,Yes
NV,57,Female,55-64,Strong Republican,Moderate,College degree,,White,,Strongly Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,No,No,Yes,City,Circumstances beyond their control,Yes
UT,31,Female,25-34,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Don't Know/Refused,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
CA,69,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
UT,32,Female,25-34,Not very Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,No,No,Yes,Yes,City,Lack of effort,Yes
CO,40,Female,35-44,Strong Republican,Not Very Strong Conservative,Some college,,White,,Don't Know/Refused,More suspicious,Somewhat Disagree,Yes,No,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,Yes,Yes,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
CA,23,Male,18-24,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,No,Yes,No,City,Circumstances beyond their control,No
UT,50,Male,45-54,Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,No,No,Yes,Small Town,Lack of effort,No
CA,30,Female,25-34,Strong Republican,Not very strong Liberal,Some college,,Don't Know/Refused,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,Yes,No,City,Circumstances beyond their control,Yes
OH,53,Male,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
UT,41,Male,35-44,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Somewhat Agree,Yes,No,Don't Know/Refused,Don't Know/Refused,Yes,Yes,No,Yes,City,Lack of effort,Yes
CA,30,Male,25-34,Not very Strong Republican,Moderate,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,Yes,Yes,City,Circumstances beyond their control,No
CA,30,Male,25-34,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Somewhat Disagree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,No,Suburb,Circumstances beyond their control,Yes
CA,67,Male,65+,Not very Strong Republican,Don't Know/Refused,Some college,,Asian,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,City,Circumstances beyond their control,Yes
CA,47,Other,45-54,Strong Republican,Strong Conservative,Graduate degree,,Asian,,Strongly Approve,More suspicious,Strongly Agree,No,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,City,Circumstances beyond their control,No
NY,79,Female,65+,Not very Strong Republican,Moderate,High school or less,,Don't Know/Refused,,Somewhat Disapprove,More suspicious,Strongly Agree,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
NH,32,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
WV,52,Male,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,No,Small Town,Don't Know/Refused,Yes
NJ,51,Male,45-54,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,No,No,No,No,Suburb,Don't Know/Refused,Yes
PA,67,Female,65+,Not very Strong Republican,Strong Liberal,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Yes
FL,77,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
NC,47,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,Yes,No,Yes,No,Small Town,Circumstances beyond their control,Yes
KY,44,Male,35-44,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Lack of effort,Yes
OH,53,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Lack of effort,Yes
NY,66,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
LA,25,Male,25-34,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Don't Know/Refused
CT,59,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,Don't Know/Refused,No,Suburb,Lack of effort,Yes
