Gender,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Other,"
What is your race? (white, black, latino, asian, other)",Other,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Would you consider yourself pro-life or pro-choice?,"Are the people you interact with on a day-to-day basis, both in person and on social media, mostly conservatives, a mix of conservatives and liberals, or mostly liberals?",What's the first word that comes to your mind when you think of Donald Trump?,Other,Do you support or oppose Trump's plan to build a wall between Mexico and the United States?,"A number of women have accused Donald Trump of sexual misconduct. How likely is it that these allegations are true: very likely, somewhat likely, or not at all likely?","Has unemployment gone up, gone down, or stayed the same since Donald Trump became president?",True or false: Donald Trump has always publically opposed abortion.,How many times has Donald Trump been married?,Would you describe Donald Trump as a humble person?,"Donald Trump is 6 feet, 3 inches tall. If you had to guess, how much do you think he weighs?","According to reports of his recent medical exam, Donald Trump weighs 239 pounds. Do you think that number is too high, too low, or accurate?","If you were a Mexican trying to illegally enter the United States, do you think you could probably find a way to get past Trump's border wall?",Do you plan on voting for Donald Trump in 2020?,Q21
Female,69,65+,Independent,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,scattered,,Support,Somewhat Likely,Gone down,FALSE,3,No,999,Accurate,No,DK/REF,
Male,77,65+,Republican,DK/REF,High school or less,,DK/REF,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,great,,Support,Not at all likely,Gone down,TRUE,999,No,999,Too high,DK/REF,Yes,DK/REF
Female,76,65+,Republican,Conservative,Some college,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,president,,Support,Somewhat Likely,Gone down,DK/REF,3,No,999,Accurate,Yes,No,
Male,62,55-64,Independent,Moderate,College degree,,White,,Somewhat Approve,DK/REF,Mix of conservatives and liberals,ambitious,,Support,Not at all likely,Gone up,FALSE,3,No,235,Accurate,Yes,Yes,No
Female,68,65+,Independent,Moderate,Other,vocational,White,,Strongly Approve,Pro-Choice,DK/REF,,DK/REF,Support,Somewhat Likely,Gone up,DK/REF,999,No,999,Accurate,Yes,Yes,DK/REF
Male,67,65+,Independent,Conservative,Graduate degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,president,,Oppose,Somewhat Likely,Stayed the same,TRUE,2,No,250,Accurate,Yes,Yes,DK/REF
Female,58,55-64,Republican,Moderate,Some college,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,strong,,Support,Somewhat Likely,Gone down,FALSE,3,Yes,999,DK/REF,DK/REF,Yes,DK/REF
Male,56,55-64,Republican,Liberal,High school or less,,White,,Strongly Approve,Pro-Choice,Mostly Liberals,good,,Support,Not at all likely,Gone up,FALSE,2,Yes,230,Accurate,Yes,Yes,No
Female,59,55-64,DK/REF,DK/REF,Some college,,White,,Strongly Disapprove,DK/REF,DK/REF,quack,,DK/REF,DK/REF,Gone up,DK/REF,999,DK/REF,999,DK/REF,DK/REF,DK/REF,
Female,73,65+,Independent,Moderate,High school or less,,White,,Strongly Disapprove,Pro-life,Mostly Liberals,hate,,Oppose,Very Likely,Gone down,TRUE,999,No,999,Too low,Yes,No,
Male,60,55-64,Democrat,Moderate,Graduate degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,rich,,Support,Not at all likely,Gone down,TRUE,2,No,235,Accurate,Yes,Yes,DK/REF
Male,74,65+,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,Pro-life,DK/REF,stammer,,Oppose,Very Likely,Gone up,FALSE,3,No,270,Too low,Yes,No,
Female,55,55-64,Republican,Liberal,Graduate degree,,White,,Strongly Approve,Pro-Choice,Mostly Liberals,forceful,,Support,Not at all likely,Gone down,FALSE,3,Yes,225,Accurate,No,Yes,Yes
Female,61,55-64,Democrat,Moderate,Some college,,White,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,joke,,Oppose,Very Likely,Stayed the same,DK/REF,4,No,250,Too high,Yes,No,
Female,71,65+,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,liar,,Oppose,Very Likely,Stayed the same,FALSE,3,No,310,Too low,Yes,No,
Male,70,65+,Republican,Moderate,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,strong,,Support,Somewhat Likely,Gone down,TRUE,2,No,200,Accurate,Yes,Yes,No
Female,75,65+,DK/REF,DK/REF,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,idiot,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,250,Too low,Yes,No,
Female,78,65+,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,great leader,,Support,Not at all likely,Gone down,TRUE,3,No,240,Accurate,DK/REF,Yes,No
Female,70,65+,Democrat,Conservative,Graduate degree,,White,,Neither approve nor disapprove,Pro-life,Mostly Conservatives,president,,DK/REF,Somewhat Likely,Gone up,DK/REF,3,No,230,Accurate,DK/REF,Yes,No
Female,77,65+,Independent,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,DK/REF,capable,,Support,Very Likely,Stayed the same,TRUE,3,No,180,Accurate,Yes,Yes,DK/REF
Female,65,65+,Independent,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,insane,,Oppose,Very Likely,Stayed the same,FALSE,4,No,350,Accurate,Yes,No,
Male,66,65+,Republican,Moderate,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,determined,,Support,Not at all likely,Gone down,TRUE,3,No,220,Too high,DK/REF,Yes,Yes
Female,90,65+,Republican,Moderate,High school or less,,White,,DK/REF,Pro-life,Mix of conservatives and liberals,smart,,Support,Not at all likely,Gone down,TRUE,3,No,155,DK/REF,Yes,Yes,Yes
Female,80,65+,Democrat,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,260,Accurate,Yes,No,
Female,80,65+,Independent,Moderate,High school or less,,White,,DK/REF,Pro-life,DK/REF,nothing,,DK/REF,DK/REF,Gone down,DK/REF,3,DK/REF,999,Accurate,DK/REF,DK/REF,
Male,65,65+,DK/REF,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,asshole,,Support,Very Likely,Gone down,DK/REF,2,No,238,Accurate,No,No,
Male,67,65+,Democrat,Liberal,High school or less,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,money,,Support,Not at all likely,Gone down,TRUE,2,Yes,195,Accurate,Yes,No,
Female,75,65+,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,leader,,Support,Not at all likely,Gone down,FALSE,3,No,250,Accurate,No,Yes,Yes
Female,50,45-54,Independent,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,educated,,Support,Not at all likely,Gone down,TRUE,3,No,200,Accurate,Yes,Yes,No
Male,62,55-64,Republican,Moderate,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,president,,DK/REF,Not at all likely,Gone down,DK/REF,3,No,230,Accurate,Yes,Yes,DK/REF
Male,90,65+,DK/REF,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,different,,Support,DK/REF,Gone down,FALSE,999,No,230,Too high,No,Yes,No
Female,85,65+,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,president,,Oppose,Somewhat Likely,Gone down,DK/REF,3,No,200,Accurate,Yes,Yes,No
Male,67,65+,DK/REF,Moderate,College degree,,White,,Strongly Disapprove,DK/REF,Mix of conservatives and liberals,,DK/REF,Oppose,Very Likely,DK/REF,FALSE,4,No,250,Too low,Yes,No,
Female,62,55-64,Independent,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,liar,,Oppose,Very Likely,Stayed the same,FALSE,3,No,285,Too low,Yes,No,
Male,77,65+,Democrat,Moderate,Graduate degree,,Asian,,Somewhat Disapprove,Pro-life,Mostly Liberals,immature,,Oppose,Very Likely,Gone down,FALSE,999,No,999,DK/REF,No,No,
Female,29,25-34,Independent,Moderate,Some college,,White,,Strongly Approve,Pro-Choice,Mostly Conservatives,great,,Oppose,Somewhat Likely,DK/REF,DK/REF,3,No,260,Accurate,Yes,Yes,DK/REF
Female,69,65+,Independent,Conservative,Some college,,Other,Native American,Strongly Approve,Pro-life,Mostly Conservatives,"He is pretty bold, unafraid to stand up for what is right and very brave.",,Support,Not at all likely,Gone down,DK/REF,999,No,999,DK/REF,DK/REF,Yes,DK/REF
Female,60,55-64,Independent,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,DK/REF,idiot,,Oppose,Very Likely,Gone up,DK/REF,3,No,250,Accurate,No,No,
Male,52,45-54,Independent,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mostly Conservatives,,DK/REF,Support,Not at all likely,Gone down,DK/REF,3,No,230,Accurate,No,Yes,No
Male,21,18-24,DK/REF,DK/REF,Graduate degree,,White,,DK/REF,Pro-life,Mostly Liberals,banana,,DK/REF,DK/REF,DK/REF,DK/REF,2,Yes,999,DK/REF,DK/REF,DK/REF,
Female,38,35-44,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,240,Accurate,Yes,No,
Male,72,65+,Independent,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,conservative,,Support,Somewhat Likely,Gone up,FALSE,3,No,230,Accurate,Yes,Yes,DK/REF
Male,49,45-54,Independent,Conservative,College degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,savior,,Support,Not at all likely,Gone down,DK/REF,999,No,270,Accurate,Yes,Yes,No
Male,39,35-44,Independent,Conservative,College degree,,White,,Neither approve nor disapprove,Pro-life,Mostly Liberals,bloviate,,Support,Somewhat Likely,Gone down,FALSE,3,No,245,Accurate,Yes,No,
Male,89,65+,Republican,DK/REF,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,,DK/REF,Support,DK/REF,Gone down,TRUE,999,No,260,DK/REF,No,DK/REF,
Male,39,35-44,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,America,,Support,Not at all likely,Gone down,DK/REF,2,No,265,Accurate,Yes,Yes,Yes
Male,67,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Freedom,,Support,Somewhat Likely,Gone down,DK/REF,2,No,230,Too high,Yes,Yes,No
Female,57,55-64,Democrat,Conservative,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Asshole,,Oppose,Very Likely,Gone down,DK/REF,3,No,230,Accurate,Yes,No,
Female,57,55-64,Independent,Moderate,High school or less,,White,,Somewhat Disapprove,Pro-life,Mostly Liberals,Jerk,,Oppose,Very Likely,DK/REF,TRUE,3,No,245,Accurate,DK/REF,No,
Male,63,55-64,Democrat,Conservative,Some college,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Asshole,,Oppose,Very Likely,Gone down,TRUE,4,No,240,Too high,Yes,No,
Female,54,45-54,Republican,Liberal,College degree,,Black,,Strongly Disapprove,Pro-life,Mostly Liberals,Insecure,,Oppose,Somewhat Likely,Stayed the same,TRUE,1,No,165,Accurate,Yes,No,
Male,90,65+,Republican,DK/REF,College degree,,Black,,DK/REF,Pro-life,DK/REF,President of the USA,,DK/REF,Very Likely,Gone up,DK/REF,1,Yes,999,DK/REF,DK/REF,Yes,Yes
Female,73,65+,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Good businessman,,Support,Somewhat Likely,Gone up,FALSE,3,No,180,Accurate,No,Yes,Yes
Female,51,45-54,Democrat,Conservative,College degree,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Not good,,Oppose,Very Likely,Gone down,FALSE,2,No,220,Accurate,No,No,
Male,48,45-54,Republican,Conservative,Graduate degree,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,Smart,,Support,Somewhat Likely,Stayed the same,TRUE,3,No,235,Accurate,No,Yes,No
Male,72,65+,DK/REF,Moderate,Some college,,Black,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Lousy,,Oppose,DK/REF,DK/REF,DK/REF,3,No,200,Accurate,Yes,No,
DK/REF,77,65+,Democrat,Liberal,Some college,,Black,,DK/REF,Pro-Choice,Mix of conservatives and liberals,,DK/REF,Oppose,DK/REF,DK/REF,TRUE,3,No,999,DK/REF,Yes,No,
Female,62,55-64,Democrat,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mostly Liberals,He is okay.,,Support,DK/REF,Stayed the same,DK/REF,999,Yes,160,Accurate,Yes,Yes,Yes
Female,64,55-64,Republican,Conservative,Some college,,Asian,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Genius,,Support,DK/REF,Gone down,DK/REF,2,DK/REF,180,Accurate,No,Yes,DK/REF
Female,43,35-44,DK/REF,Liberal,High school or less,,Latino,,DK/REF,Pro-Choice,Mostly Conservatives,The hair,,Support,Very Likely,Gone down,TRUE,999,No,230,Accurate,No,No,
Female,62,55-64,Republican,Liberal,College degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Strong,,Oppose,Somewhat Likely,Gone down,DK/REF,4,Yes,210,Too high,Yes,DK/REF,
Female,63,55-64,Republican,Liberal,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Makes American great,,Support,Not at all likely,Gone down,FALSE,3,No,225,Accurate,Yes,Yes,No
Female,54,45-54,Independent,DK/REF,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Asshole,,Oppose,Very Likely,Gone down,FALSE,2,No,140,Too high,Yes,No,
Male,54,45-54,Republican,Conservative,Graduate degree,,White,,Strongly Approve,DK/REF,Mostly Conservatives,Conservative,,Support,DK/REF,Gone down,FALSE,999,No,999,DK/REF,No,Yes,DK/REF
Female,84,65+,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Ignorant,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Too low,Yes,No,
Male,61,55-64,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,,DK/REF,Oppose,Very Likely,Stayed the same,TRUE,3,Yes,200,Accurate,No,No,
Male,71,65+,Democrat,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,,DK/REF,Support,Somewhat Likely,Gone down,DK/REF,3,No,220,Accurate,No,No,
Male,44,35-44,Independent,Moderate,High school or less,,Asian,,Neither approve nor disapprove,DK/REF,Mix of conservatives and liberals,Penis,,Oppose,Very Likely,Gone down,FALSE,4,No,280,Too low,Yes,No,
Male,26,25-34,Republican,Moderate,College degree,,Asian,,Neither approve nor disapprove,Pro-Choice,Mostly Liberals,Dumb,,Oppose,Somewhat Likely,Stayed the same,FALSE,2,No,220,Too high,No,No,
Male,60,55-64,Republican,Moderate,Graduate degree,,White,,Strongly Approve,Pro-Choice,DK/REF,It is about time.,,Support,Not at all likely,Gone down,DK/REF,999,Yes,239,Accurate,Yes,Yes,Yes
Male,61,55-64,Independent,Conservative,High school or less,,White,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Arrogant,,Oppose,Very Likely,Gone up,FALSE,3,No,250,Too low,Yes,No,
Female,62,55-64,Independent,Liberal,High school or less,,White,,Strongly Approve,Pro-Choice,DK/REF,True to life,,Support,DK/REF,Gone down,DK/REF,999,No,999,DK/REF,DK/REF,Yes,DK/REF
Female,37,35-44,Independent,Liberal,Some college,,Other,Mixed,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Tyrant,,Oppose,Very Likely,Stayed the same,TRUE,2,No,215,Accurate,No,No,
Female,33,25-34,Republican,Moderate,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Interesting,,Support,Somewhat Likely,Gone down,TRUE,3,No,230,Accurate,Yes,Yes,No
Male,46,45-54,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Great,,Support,Not at all likely,Gone down,TRUE,3,Yes,235,Accurate,No,Yes,DK/REF
Female,62,55-64,Independent,Conservative,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Rotten,,Oppose,Very Likely,Gone down,TRUE,3,No,316,Accurate,Yes,No,
Male,47,45-54,Republican,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Different,,Support,DK/REF,Gone down,FALSE,3,No,260,Too low,Yes,Yes,No
Male,36,35-44,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Dishonest,,Oppose,Somewhat Likely,DK/REF,TRUE,2,No,280,Too low,Yes,No,
Male,42,35-44,Republican,Moderate,College degree,,Asian,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,Our president,,DK/REF,Somewhat Likely,Stayed the same,TRUE,3,No,225,Accurate,Yes,DK/REF,
Female,63,55-64,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Stayed the same,FALSE,3,No,300,Too low,No,No,
Female,72,65+,Republican,Moderate,Graduate degree,,White,,Somewhat Disapprove,Pro-Choice,Mix of conservatives and liberals,Radical,,Support,Somewhat Likely,Gone down,TRUE,2,No,195,Too high,Yes,DK/REF,
Female,36,35-44,Democrat,Conservative,High school or less,,Latino,,Strongly Approve,Pro-life,Mostly Conservatives,Crazy,,Oppose,Very Likely,Stayed the same,TRUE,2,No,230,Accurate,Yes,No,
Female,59,55-64,DK/REF,Moderate,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,President,,DK/REF,Somewhat Likely,Gone down,DK/REF,3,No,270,Too low,No,DK/REF,
Male,29,25-34,Democrat,Liberal,College degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,,DK/REF,Oppose,Somewhat Likely,Stayed the same,FALSE,999,No,200,Too high,No,No,
DK/REF,40,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,America,,Support,Not at all likely,Gone up,FALSE,999,Yes,225,Accurate,Yes,Yes,Yes
Female,30,25-34,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Somewhat Likely,Stayed the same,DK/REF,2,No,999,Too low,Yes,No,
Male,27,25-34,Independent,Conservative,High school or less,,White,,Neither approve nor disapprove,DK/REF,Mix of conservatives and liberals,Millionaire,,Support,DK/REF,DK/REF,DK/REF,2,Yes,200,DK/REF,Yes,No,
Female,40,35-44,Independent,Conservative,Some college,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Successful,,Support,DK/REF,Gone down,DK/REF,4,DK/REF,999,DK/REF,DK/REF,Yes,No
Male,25,25-34,Independent,Conservative,High school or less,,Latino,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Like a boss,,Support,Not at all likely,Gone down,TRUE,1,Yes,230,Accurate,Yes,No,
Male,60,55-64,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Disaster,,Oppose,Very Likely,Stayed the same,TRUE,3,No,250,Too low,Yes,No,
Male,36,35-44,Independent,Conservative,Some college,,Latino,,Strongly Approve,DK/REF,DK/REF,Doing a great job as president,,Oppose,Not at all likely,Gone up,FALSE,2,Yes,250,Too high,Yes,Yes,No
Female,62,55-64,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,DK/REF,Mostly Conservatives,Yuck,,Oppose,DK/REF,Gone down,DK/REF,2,No,999,DK/REF,No,No,
Female,40,35-44,Republican,Moderate,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Determined,,Support,Not at all likely,Gone down,DK/REF,2,No,230,Accurate,Yes,DK/REF,
Male,67,65+,Independent,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Monster,,Oppose,Very Likely,Gone up,TRUE,3,No,260,Too low,Yes,No,
Male,57,55-64,Democrat,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mostly Liberals,President,,Support,Not at all likely,Stayed the same,TRUE,2,Yes,224,Accurate,Yes,Yes,Yes
Female,78,65+,Independent,Moderate,Some college,,White,,Somewhat Approve,Pro-life,DK/REF,Loud,,Support,DK/REF,Stayed the same,DK/REF,999,No,999,DK/REF,Yes,DK/REF,
Female,75,65+,Republican,Conservative,Graduate degree,,White,,Somewhat Disapprove,Pro-life,Mostly Conservatives,Egotistic,,Support,Very Likely,DK/REF,DK/REF,3,No,235,Accurate,No,No,
Female,55,55-64,Republican,Moderate,Graduate degree,,White,,Somewhat Approve,DK/REF,Mix of conservatives and liberals,Hope,,DK/REF,DK/REF,Stayed the same,DK/REF,2,No,999,Accurate,Yes,Yes,DK/REF
Female,63,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,"Embarrassment, jerk",,Oppose,Very Likely,Stayed the same,TRUE,3,No,230,Too low,Yes,No,
Female,66,65+,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unstable,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Too low,Yes,No,
Female,59,55-64,Independent,DK/REF,College degree,,White,,Somewhat Disapprove,Pro-Choice,DK/REF,Mouthy,,Support,Very Likely,Gone up,TRUE,3,No,999,Too high,No,No,
Male,53,45-54,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Calm artist,,Oppose,Very Likely,Stayed the same,TRUE,3,No,270,Accurate,No,No,
Female,57,55-64,Independent,Moderate,Graduate degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Tramp,,Oppose,Very Likely,Gone down,FALSE,3,No,240,Accurate,Yes,No,
Female,65,65+,Republican,Moderate,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Businessman,,Support,Somewhat Likely,Gone down,FALSE,3,No,250,Accurate,No,Yes,Yes
Male,68,65+,Democrat,Liberal,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Liberals,,DK/REF,Oppose,Somewhat Likely,Gone down,FALSE,2,Yes,200,Accurate,Yes,DK/REF,
Male,57,55-64,Republican,Moderate,College degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Business,,Support,Not at all likely,Gone down,FALSE,2,No,210,Too high,DK/REF,Yes,No
Female,65,65+,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,President,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,200,Accurate,Yes,DK/REF,
Female,34,25-34,Independent,Moderate,Graduate degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,Not at all likely,Gone up,FALSE,999,Yes,285,Accurate,No,Yes,Yes
Female,83,65+,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Frightening,,DK/REF,Very Likely,Gone down,DK/REF,3,No,270,Too low,DK/REF,No,
Male,71,65+,Independent,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Business,,Support,Not at all likely,Gone down,FALSE,3,No,190,Accurate,No,Yes,DK/REF
Female,71,65+,DK/REF,DK/REF,High school or less,,White,,DK/REF,DK/REF,DK/REF,Trouble,,Oppose,Somewhat Likely,Stayed the same,TRUE,3,No,185,Too low,No,No,
Male,69,65+,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unqualified,,Oppose,Very Likely,Gone down,DK/REF,3,No,270,Too low,Yes,No,
Female,70,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Mouth,,Support,Somewhat Likely,Gone down,FALSE,4,No,260,Accurate,Yes,Yes,No
Male,71,65+,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,TRUE,3,No,235,Accurate,No,Yes,Yes
Female,72,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-life,DK/REF,Successful,,Support,Not at all likely,DK/REF,DK/REF,3,DK/REF,999,DK/REF,Yes,Yes,DK/REF
Female,87,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Rich guy,,Support,Somewhat Likely,Gone up,DK/REF,2,Yes,999,Too high,Yes,Yes,No
Male,56,55-64,Democrat,Moderate,High school or less,,White,,Strongly Approve,Pro-life,DK/REF,,DK/REF,Support,Not at all likely,Stayed the same,FALSE,3,Yes,999,DK/REF,No,Yes,No
Male,72,65+,Republican,Moderate,Graduate degree,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Good job,,Support,Somewhat Likely,Gone down,FALSE,3,No,230,Too high,No,Yes,DK/REF
Female,84,65+,Independent,Conservative,High school or less,,White,,DK/REF,Pro-Choice,Mostly Conservatives,Stump,,Oppose,DK/REF,Gone down,FALSE,3,No,270,Too low,Yes,No,
Female,88,65+,DK/REF,Conservative,Some college,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,TRUE,3,Yes,200,DK/REF,DK/REF,DK/REF,
Female,72,65+,Democrat,Liberal,College degree,,DK/REF,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Sad,,Oppose,Very Likely,Gone up,TRUE,3,No,215,Accurate,Yes,No,
Female,82,65+,Independent,Moderate,High school or less,,White,,DK/REF,DK/REF,DK/REF,,DK/REF,Support,Somewhat Likely,DK/REF,DK/REF,999,No,999,DK/REF,DK/REF,DK/REF,
Female,84,65+,Republican,Moderate,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Pleasant,,Support,Not at all likely,Gone down,TRUE,3,Yes,195,Too high,No,Yes,No
Male,18,18-24,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Perfect President,,Support,Not at all likely,Gone down,FALSE,1,Yes,250,Accurate,No,Yes,Yes
Female,54,45-54,Republican,Conservative,Graduate degree,,Latino,,Somewhat Approve,Pro-life,Mostly Conservatives,,DK/REF,Support,Somewhat Likely,Gone down,DK/REF,3,DK/REF,999,DK/REF,No,DK/REF,
Male,39,35-44,Democrat,Liberal,Graduate degree,,White,,Neither approve nor disapprove,Pro-life,Mostly Conservatives,Forward,,Oppose,Somewhat Likely,Gone down,FALSE,2,Yes,175,Accurate,Yes,No,
Female,29,25-34,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Idiot,,Oppose,Very Likely,Gone up,FALSE,3,No,285,Accurate,Yes,No,
Male,53,45-54,Democrat,DK/REF,High school or less,,Black,,DK/REF,DK/REF,Mostly Conservatives,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,999,No,220,Accurate,Yes,No,
Female,58,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,DK/REF,Jackass,,Oppose,Very Likely,Stayed the same,FALSE,3,No,190,Accurate,Yes,No,
Male,69,65+,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,DK/REF,Shit,,Oppose,Very Likely,Stayed the same,FALSE,3,No,300,Too low,Yes,No,
