What gender do you identify with? ,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ",What is your highest level of education? ,Q5OTH1,What is your race?,,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ",Would you support a law that would limit the size of soft drinks and other sugary beverages served in restaurants to no more than 16 ounces?,Do you believe that prostitution should be against the law? ,Do you believe that it should be against the law to smoke marijuana for recreation?,Do you believe the sale of human organs for transplants should be against the law?,Would you consider yourself a religious person?,Do you think it should be against the law to take pain killers or other opiates without a prescription?,Would you consider yourself pro-life or pro-choice?,"Do you generally disapprove of people who pursue casual sex, hookups, or one-night-stands?","Based on your general impressions, would you say that people who smoke marijuana tend to have more casual sex than people who abstain from smoking marijuana?","If abortion became strictly banned, do you think women in general would become more willing to have casual sex, less willing to have casual sex, or behave no differently?",Do you agree or disagree with the following statement: A woman should have the right to do what she wants with her own body.,Do you agree or disagree with this next statement: Abortion is morally wrong.,And do you agree or disagree with this next statement: Sex without love is okay. ,Do you believe that an elected official who has committed sexual misconduct in their personal life can still behave ethically and fulfill their duties while in office?
Female,99,65+,Democrat,Conservative,College degree,,Other,mixed race,Neither approve nor disapprove,No,Yes,DK/REF,Yes,"Yes, very religious",No,Pro-life,DK/REF,DK/REF,DK/REF,DK/REF,Strongly Agree,DK/REF,DK/REF
Male,65,65+,DK/REF,DK/REF,DK/REF,,White,,Somewhat Disapprove,No,Yes,Yes,Yes,"Yes, very religious",Yes,DK/REF,No,No,Behave no differently,Somewhat Agree,Somewhat Agree,Strongly Disagree,Yes
Female,60,55-64,Democrat,Moderate,High school or less,,Black,,DK/REF,No,Yes,Yes,DK/REF,"Yes, very religious",No,DK/REF,No,DK/REF,Behave no differently,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,No
Male,50,45-54,Democrat,Conservative,College degree,,Black,,Strongly Disapprove,Yes,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,Yes,Behave no differently,Somewhat Agree,Strongly Agree,Somewhat Agree,DK/REF
Female,60,55-64,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,Yes,Yes,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Male,63,55-64,Independent,Moderate,High school or less,,White,,Strongly Approve,Yes,Yes,No,Yes,No,Yes,Pro-life,No,Yes,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,No
Male,45,45-54,Republican,Conservative,Graduate degree,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,DK/REF,DK/REF,DK/REF,Strongly Disagree,Strongly Agree,DK/REF,Yes
Male,48,45-54,DK/REF,DK/REF,Graduate degree,,White,,DK/REF,No,DK/REF,Yes,Yes,"Yes, very religious",Yes,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Female,39,35-44,Democrat,Moderate,Some college,,White,,Strongly Approve,No,Yes,No,No,"Yes, very religious",No,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,Yes
Female,57,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Yes,Yes,Yes,Yes,"Yes, very religious",DK/REF,Pro-life,Yes,No,Less Willing,Somewhat Agree,Strongly Agree,Strongly Disagree,Yes
Male,63,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,No,Yes,No,Yes,No,No,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,55,55-64,Republican,Conservative,College degree,,White,,Somewhat Approve,No,Yes,DK/REF,Yes,"Yes, very religious",Yes,Pro-life,DK/REF,DK/REF,Less Willing,Strongly Agree,Strongly Agree,DK/REF,Yes
Female,64,55-64,Democrat,Moderate,High school or less,,Black,,DK/REF,No,No,No,Yes,"Yes, very religious",No,Pro-life,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,DK/REF,No
Female,62,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,Yes,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Male,61,55-64,Democrat,Liberal,College degree,,White,,Strongly Disapprove,No,Yes,No,No,"Yes, very religious",Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Disagree,Yes
Female,35,35-44,Democrat,Moderate,College degree,,Latino,,Strongly Disapprove,No,Yes,DK/REF,Yes,"Yes, very religious",Yes,Pro-life,Yes,Yes,Behave no differently,DK/REF,Strongly Agree,Strongly Disagree,Yes
Female,37,35-44,Republican,Conservative,Graduate degree,,White,,Strongly Approve,No,Yes,Yes,No,"Yes, very religious",Yes,Pro-life,Yes,Yes,Behave no differently,Somewhat Disagree,Strongly Agree,Strongly Disagree,Yes
Male,43,35-44,Republican,Moderate,College degree,,White,,Strongly Approve,No,Yes,DK/REF,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Female,36,35-44,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,No,Yes,DK/REF,No,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,DK/REF,Strongly Agree,No
Female,29,25-34,Independent,Liberal,High school or less,,White,,Strongly Disapprove,No,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,25,25-34,Independent,Moderate,College degree,,DK/REF,,Strongly Disapprove,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-life,No,No,Less Willing,Strongly Agree,Somewhat Agree,Somewhat Agree,Yes
Male,30,25-34,Independent,Moderate,College degree,,Black,,Neither approve nor disapprove,Yes,Yes,No,Yes,No,Yes,Pro-life,No,DK/REF,Behave no differently,Somewhat Agree,Strongly Agree,Somewhat Agree,No
Male,35,35-44,Independent,Moderate,College degree,,DK/REF,,Strongly Disapprove,Yes,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Female,57,55-64,Republican,Conservative,Some college,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",No,Pro-life,Yes,Yes,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Female,27,25-34,Independent,Moderate,Some college,,White,,Somewhat Approve,Yes,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,65,65+,Independent,Moderate,College degree,,White,,Somewhat Disapprove,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,Yes,DK/REF,Behave no differently,Somewhat Agree,Somewhat Agree,Somewhat Agree,Yes
Male,48,45-54,Independent,Conservative,Some college,,White,,Somewhat Approve,No,Yes,Yes,Yes,No,Yes,Pro-life,No,DK/REF,Behave no differently,DK/REF,Somewhat Agree,Strongly Agree,No
Female,41,35-44,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Yes,Yes,Yes,Yes,"Yes, very religious",No,Pro-life,Yes,Yes,DK/REF,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Male,35,35-44,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Agree,No
Male,67,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,No,Yes,No,No,"Yes, somewhat religious",Yes,Pro-Choice,No,DK/REF,Behave no differently,Somewhat Agree,Somewhat Disagree,Somewhat Agree,No
Male,37,35-44,Democrat,DK/REF,College degree,,Black,,Strongly Disapprove,No,No,No,Yes,"Yes, very religious",Yes,Pro-Choice,DK/REF,DK/REF,Less Willing,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,72,65+,DK/REF,DK/REF,High school or less,,Other,Asian Pacific Islander,Strongly Approve,Yes,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,DK/REF,Strongly Agree,DK/REF,DK/REF,Yes
Female,43,35-44,Independent,Liberal,Some college,,White,,Strongly Disapprove,Yes,Yes,Yes,No,No,Yes,Pro-Choice,Yes,Yes,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,No
Male,51,45-54,Republican,Moderate,High school or less,,White,,Strongly Approve,Yes,Yes,No,No,"Yes, somewhat religious",Yes,Pro-Choice,No,Yes,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,No
Male,45,45-54,Independent,Moderate,High school or less,,White,,Somewhat Approve,Yes,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Female,71,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,No,Behave no differently,Strongly Disagree,Strongly Agree,Strongly Disagree,No
Female,70,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,No,No,Yes,No,No,Yes,Pro-life,Yes,Yes,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Disagree,Yes
Male,41,35-44,DK/REF,DK/REF,Some college,,White,,Strongly Disapprove,No,DK/REF,No,No,"Yes, very religious",Yes,Pro-life,No,DK/REF,DK/REF,Somewhat Agree,Strongly Agree,Somewhat Agree,DK/REF
Female,40,35-44,Republican,Moderate,Some college,,White,,Somewhat Approve,No,Yes,No,Yes,No,Yes,Pro-Choice,DK/REF,No,Less Willing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Yes
Male,40,35-44,Republican,Conservative,High school or less,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Behave no differently,DK/REF,Strongly Agree,DK/REF,Yes
Male,37,35-44,Republican,Moderate,College degree,,White,,Somewhat Approve,Yes,Yes,Yes,Yes,"Yes, very religious",DK/REF,Pro-life,DK/REF,DK/REF,DK/REF,Somewhat Agree,Strongly Agree,DK/REF,Yes
Male,41,35-44,Independent,Conservative,High school or less,,White,,Strongly Approve,No,Yes,Yes,No,"Yes, somewhat religious",Yes,Pro-life,No,No,Behave no differently,DK/REF,Strongly Agree,Somewhat Disagree,Yes
Male,44,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,No,No,Less Willing,Strongly Disagree,Strongly Agree,Strongly Agree,DK/REF
Male,29,25-34,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,No,No,No,Yes,No,No,Pro-Choice,No,DK/REF,Less Willing,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Male,36,35-44,Independent,Moderate,College degree,,Black,,Strongly Disapprove,Yes,Yes,No,No,"Yes, somewhat religious",No,Pro-life,No,No,DK/REF,Strongly Agree,Somewhat Disagree,Somewhat Agree,No
Male,37,35-44,DK/REF,DK/REF,Other,Doctorate,White,,DK/REF,No,DK/REF,DK/REF,No,No,No,Pro-life,DK/REF,No,Behave no differently,Strongly Agree,DK/REF,Strongly Agree,Yes
Female,21,18-24,Republican,Conservative,College degree,,Latino,,Strongly Approve,Yes,Yes,Yes,No,"Yes, very religious",No,Pro-life,No,Yes,Behave no differently,Somewhat Agree,Strongly Agree,Somewhat Agree,Yes
Male,63,55-64,DK/REF,DK/REF,High school or less,,White,,Strongly Approve,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,No,Less Willing,Strongly Agree,DK/REF,Strongly Agree,Yes
Male,42,35-44,Independent,Moderate,Some college,,Asian,,Strongly Disapprove,No,No,No,Yes,"Yes, somewhat religious",No,Pro-life,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Male,26,25-34,Democrat,Conservative,Some college,,White,,Somewhat Disapprove,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Somewhat Agree,Strongly Disagree,Strongly Disagree,Yes
Male,38,35-44,Independent,Moderate,High school or less,,White,,Somewhat Disapprove,No,No,No,No,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,38,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,No,Yes,Yes,No,"Yes, somewhat religious",Yes,Pro-life,Yes,Yes,Less Willing,Somewhat Disagree,Strongly Agree,Strongly Disagree,Yes
Male,60,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Approve,No,No,No,Yes,No,No,Pro-life,No,No,Behave no differently,Somewhat Agree,Strongly Agree,Somewhat Agree,Yes
Male,20,18-24,Democrat,Moderate,High school or less,,Latino,,DK/REF,Yes,No,No,Yes,"Yes, somewhat religious",No,Pro-Choice,No,Yes,Less Willing,Strongly Agree,DK/REF,Somewhat Agree,Yes
Male,36,35-44,Independent,Moderate,Some college,,Other,mixed,Somewhat Disapprove,No,No,No,No,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,26,25-34,Republican,Moderate,College degree,,White,,Strongly Disapprove,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Yes
Female,33,25-34,Republican,Conservative,Some college,,White,,Neither approve nor disapprove,No,Yes,No,Yes,"Yes, very religious",Yes,Pro-life,Yes,No,Less Willing,DK/REF,Strongly Agree,Strongly Disagree,Yes
Male,34,25-34,Republican,Conservative,Graduate degree,,White,,Somewhat Disapprove,No,Yes,Yes,No,"Yes, very religious",Yes,Pro-life,Yes,Yes,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,Yes
Male,43,35-44,Independent,Conservative,Graduate degree,,White,,Somewhat Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,DK/REF,No,Behave no differently,Somewhat Disagree,Strongly Agree,Strongly Disagree,Yes
Female,57,55-64,Democrat,Liberal,College degree,,White,,Strongly Disapprove,No,No,No,No,No,No,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,No
Female,55,55-64,Democrat,Conservative,Some college,,Other,spanish,Somewhat Disapprove,No,Yes,Yes,No,No,DK/REF,Pro-life,Yes,DK/REF,Behave no differently,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Female,45,45-54,Democrat,Liberal,Some college,,White,,Strongly Disapprove,No,Yes,No,Yes,No,Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Disagree,Yes
Female,44,35-44,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,No
Male,33,25-34,Independent,Moderate,College degree,,White,,Somewhat Disapprove,No,Yes,DK/REF,No,"Yes, very religious",Yes,Pro-life,No,DK/REF,Behave no differently,Somewhat Agree,Strongly Agree,Strongly Disagree,Yes
Male,28,25-34,Republican,Conservative,Some college,,White,,Somewhat Approve,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,DK/REF,Behave no differently,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Yes
Male,38,35-44,Republican,Conservative,College degree,,White,,Strongly Approve,No,Yes,No,DK/REF,"Yes, somewhat religious",Yes,Pro-life,No,DK/REF,Less Willing,Strongly Agree,Strongly Agree,Somewhat Disagree,Yes
Female,57,55-64,Republican,Moderate,Graduate degree,,White,,Somewhat Approve,Yes,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Agree,Yes
Female,38,35-44,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,No,Yes,No,No,"Yes, very religious",Yes,Pro-Choice,DK/REF,No,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Disagree,No
Female,30,25-34,Democrat,Liberal,College degree,,Latino,,Strongly Disapprove,No,Yes,Yes,Yes,"Yes, somewhat religious",Yes,Pro-life,Yes,No,Behave no differently,Strongly Agree,Strongly Agree,Somewhat Disagree,Yes
Male,72,65+,Independent,Conservative,Graduate degree,,White,,Neither approve nor disapprove,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Behave no differently,Somewhat Disagree,Strongly Agree,Somewhat Agree,No
Female,63,55-64,Independent,Conservative,College degree,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,No
Male,37,35-44,Independent,Moderate,College degree,,White,,Somewhat Disapprove,No,No,No,No,No,No,Pro-Choice,No,DK/REF,DK/REF,Strongly Agree,Somewhat Disagree,Somewhat Agree,Yes
Male,19,18-24,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,No,No,No,Yes,No,Yes,Pro-life,No,No,Behave no differently,Somewhat Agree,Strongly Agree,Strongly Agree,Yes
Male,44,35-44,Republican,Moderate,Graduate degree,,Asian,,Somewhat Approve,No,Yes,Yes,Yes,No,DK/REF,DK/REF,No,No,Behave no differently,Somewhat Agree,Strongly Agree,Somewhat Disagree,Yes
Male,69,65+,Republican,Conservative,Some college,,White,,Strongly Approve,No,No,No,No,"Yes, somewhat religious",No,Pro-Choice,No,Yes,More Willing,Strongly Agree,Somewhat Agree,Strongly Agree,Yes
Female,31,25-34,Republican,Conservative,High school or less,,White,,Strongly Approve,No,Yes,No,Yes,"Yes, very religious",Yes,Pro-life,Yes,No,Less Willing,Strongly Disagree,Strongly Agree,Somewhat Disagree,Yes
Female,42,35-44,Republican,Conservative,College degree,,White,,Somewhat Approve,No,Yes,Yes,No,"Yes, somewhat religious",Yes,Pro-life,No,No,Behave no differently,Somewhat Disagree,Strongly Agree,Somewhat Agree,Yes
Male,31,25-34,Independent,DK/REF,High school or less,,White,,DK/REF,No,Yes,No,DK/REF,"Yes, somewhat religious",Yes,Pro-life,No,DK/REF,DK/REF,DK/REF,Strongly Agree,Somewhat Agree,Yes
Female,56,55-64,Independent,Moderate,High school or less,,Latino,,Strongly Disapprove,Yes,Yes,No,No,"Yes, very religious",No,Pro-life,Yes,Yes,Behave no differently,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes
Female,64,55-64,Democrat,Moderate,College degree,,White,,Neither approve nor disapprove,No,Yes,No,DK/REF,"Yes, somewhat religious",No,DK/REF,DK/REF,DK/REF,DK/REF,Strongly Agree,DK/REF,DK/REF,DK/REF
Male,32,25-34,DK/REF,DK/REF,High school or less,,Black,,Strongly Disapprove,No,Yes,No,No,"Yes, somewhat religious",Yes,DK/REF,No,No,Behave no differently,Strongly Agree,Strongly Agree,Strongly Agree,Yes
Female,66,65+,Democrat,Moderate,College degree,,White,,Strongly Disapprove,No,No,No,Yes,No,No,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,DK/REF
Male,36,35-44,Republican,Conservative,High school or less,,DK/REF,,Strongly Approve,No,Yes,DK/REF,Yes,"Yes, very religious",No,Pro-life,Yes,DK/REF,Less Willing,Strongly Agree,Strongly Agree,Strongly Disagree,Yes
Female,42,35-44,Independent,Liberal,High school or less,,Latino,,Strongly Disapprove,Yes,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,No
Male,76,65+,Republican,Conservative,College degree,,White,,Strongly Approve,No,DK/REF,Yes,No,"Yes, very religious",Yes,Pro-life,Yes,Yes,Less Willing,Strongly Disagree,Strongly Agree,Somewhat Disagree,No
Male,32,25-34,Democrat,Liberal,College degree,,Black,,Neither approve nor disapprove,Yes,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,Yes,DK/REF,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,No
Male,61,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,No,No,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,Yes
Female,26,25-34,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Yes,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,45,45-54,Republican,Moderate,Some college,,White,,Strongly Approve,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Male,34,25-34,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,No,Yes,No,Yes,No,Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Agree,Yes
Female,64,55-64,Democrat,Moderate,Some college,,White,,Somewhat Disapprove,Yes,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,No,Yes,DK/REF,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Female,59,55-64,DK/REF,Conservative,Some college,,Asian,,Strongly Disapprove,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,DK/REF,DK/REF,Behave no differently,Strongly Agree,Strongly Agree,DK/REF,DK/REF
Female,40,35-44,DK/REF,DK/REF,College degree,,White,,Somewhat Disapprove,No,Yes,Yes,No,"Yes, very religious",No,Pro-life,Yes,Yes,Less Willing,Somewhat Agree,Strongly Agree,Strongly Disagree,No
Female,68,65+,Independent,Moderate,Some college,,White,,Somewhat Approve,Yes,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,Yes,Yes,Less Willing,Somewhat Agree,DK/REF,Somewhat Disagree,No
Male,40,35-44,Independent,Moderate,Graduate degree,,White,,Strongly Approve,No,No,No,DK/REF,No,No,Pro-life,No,No,Less Willing,Strongly Agree,Strongly Agree,Somewhat Agree,Yes
Other,40,35-44,Independent,Liberal,Graduate degree,,Black,,Strongly Approve,No,No,No,No,No,No,DK/REF,No,No,DK/REF,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,46,45-54,Independent,Moderate,Graduate degree,,Black,,Neither approve nor disapprove,Yes,Yes,DK/REF,DK/REF,No,No,Pro-life,DK/REF,DK/REF,Less Willing,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
Female,44,35-44,DK/REF,DK/REF,High school or less,,White,,Strongly Disapprove,DK/REF,Yes,Yes,No,"Yes, somewhat religious",No,Pro-Choice,No,DK/REF,DK/REF,Somewhat Agree,Strongly Agree,Somewhat Agree,No
Female,42,35-44,Independent,Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,DK/REF,No,Yes,No,Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Agree,DK/REF
Female,67,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,Yes,Yes,Less Willing,Somewhat Agree,Strongly Agree,Strongly Disagree,Yes
Male,42,35-44,Democrat,Moderate,College degree,,Black,,Neither approve nor disapprove,Yes,Yes,No,No,"Yes, very religious",Yes,Pro-Choice,Yes,Yes,More Willing,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Male,43,35-44,Independent,DK/REF,Some college,,White,,Strongly Approve,No,No,No,DK/REF,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Male,42,35-44,Independent,Moderate,College degree,,White,,Strongly Disapprove,Yes,No,No,Yes,No,Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
Female,40,35-44,Independent,Conservative,College degree,,Latino,,Somewhat Approve,No,No,No,Yes,"Yes, very religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Agree,Strongly Agree,Yes
Male,40,35-44,Democrat,Moderate,College degree,,Latino,,Neither approve nor disapprove,No,Yes,Yes,No,No,Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Agree,Somewhat Disagree,No
Male,29,25-34,Republican,Moderate,Some college,,Latino,,Somewhat Approve,No,Yes,No,No,No,Yes,Pro-Choice,No,No,Less Willing,Strongly Agree,Somewhat Disagree,Strongly Agree,Yes
Male,35,35-44,Democrat,Liberal,Some college,,White,,Strongly Disapprove,No,No,No,No,No,DK/REF,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Agree,No
Male,45,45-54,Independent,Liberal,College degree,,Asian,,Strongly Disapprove,Yes,DK/REF,No,Yes,No,No,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,Yes
Female,35,35-44,Republican,Conservative,Graduate degree,,Latino,,Strongly Approve,No,Yes,Yes,Yes,"Yes, somewhat religious",No,Pro-Choice,No,No,Behave no differently,Somewhat Disagree,Strongly Agree,Strongly Agree,Yes
Male,42,35-44,Democrat,Moderate,College degree,,Asian,,Neither approve nor disapprove,Yes,Yes,Yes,Yes,"Yes, very religious",No,Pro-life,Yes,No,Behave no differently,Strongly Agree,Somewhat Disagree,Strongly Disagree,Yes
Male,31,25-34,Republican,Liberal,Graduate degree,,White,,Strongly Disapprove,No,DK/REF,No,No,"Yes, somewhat religious",Yes,Pro-life,Yes,No,Behave no differently,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Yes
Female,71,65+,Independent,Moderate,Other,Master's Degree,White,,Strongly Disapprove,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,DK/REF,DK/REF,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Yes
Male,39,35-44,Republican,Conservative,Some college,,White,,Strongly Approve,No,Yes,DK/REF,No,"Yes, somewhat religious",Yes,Pro-life,DK/REF,DK/REF,DK/REF,Somewhat Agree,Strongly Agree,Somewhat Agree,Yes
Female,35,35-44,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,No,No,Yes,"Yes, somewhat religious",Yes,Pro-Choice,Yes,No,Behave no differently,Strongly Agree,Strongly Disagree,Somewhat Agree,No
Male,64,55-64,Democrat,DK/REF,High school or less,,Latino,,Somewhat Disapprove,No,No,No,No,No,No,DK/REF,No,DK/REF,DK/REF,Strongly Agree,Strongly Agree,Strongly Disagree,No
Female,56,55-64,DK/REF,Moderate,High school or less,,White,,Strongly Disapprove,Yes,Yes,No,Yes,No,Yes,Pro-life,No,No,Behave no differently,Strongly Agree,Strongly Agree,Strongly Disagree,Yes
Female,24,18-24,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Yes,Yes,No,DK/REF,"Yes, somewhat religious",Yes,Pro-Choice,No,No,Behave no differently,Strongly Agree,Somewhat Disagree,Somewhat Disagree,No
Male,39,35-44,Independent,Moderate,Graduate degree,,White,,Neither approve nor disapprove,No,Yes,No,Yes,"Yes, somewhat religious",Yes,Pro-life,DK/REF,No,Behave no differently,Strongly Disagree,Strongly Agree,Somewhat Agree,No
Male,39,35-44,Democrat,DK/REF,Graduate degree,,White,,Strongly Approve,No,No,No,No,No,Yes,Pro-life,Yes,Yes,Less Willing,Strongly Disagree,Strongly Agree,Strongly Agree,Yes
Female,50,45-54,Republican,Conservative,Some college,,Latino,,Strongly Approve,No,Yes,Yes,Yes,"Yes, very religious",Yes,Pro-life,No,No,Behave no differently,Somewhat Disagree,Strongly Agree,Somewhat Agree,Yes
Male,58,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,No,No,No,Yes,No,No,Pro-Choice,No,DK/REF,Behave no differently,Strongly Agree,Strongly Disagree,Strongly Agree,Yes
