Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?",What is your highest level of education?,Q5OTH1,What is your race?,Q6OTH1,Do you believe that Americans should be more inclusive of people with different backgrounds and perspectives?,Do you believe it is wrong to hold negative stereotypes about a group of people based on their beliefs?,Do you believe that men and women are equal in their talents and abilities?,"This past August, a man drove his car into a crowd of protestors at Charlottesville, killing one person and injuring nineteen others. Do you believe that Trump supporters are at least partly to blame for this act of violence?",Do you agree or disagree with the following statement: Liberals should make a greater effort to understand and respect Trump supporters.,And do you agree or disagree with this next statement: Liberal college students should be more welcoming of conservative speakers on campus.,"
And do you agree or disagree with this next statement: Whenever most scientists agree on an issue, we should believe the scientists. ",Do you believe that conservative Republicans are less compassionate than most people?,Do you believe that women in positions of power are better able to feel empathy than men?,Do you believe that women are better at multi-tasking than men?,Do you believe that most Trump supporters are racist?,Do you believe that genetically modified foods are safe to eat?,Do you believe that Muslims are at least partly to blame for acts of terrorism committed in the name of Islam?,Do you believe that America would be better or worse if everyone became gay?
Male,29,25-34,Not very strong Democrat,Not very strong Liberal,Graduate degree,,Asian,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,No,DON'T KNOW/REFUSED,No,Yes,No,DON'T KNOW/REFUSED
Male,54,45-54,Strong Democrat,Strong Conservative,Some college,,Latino,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,Yes,Yes,No,Worse
Male,61,55-64,Not very strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,Yes,No,No,No,No,Yes,Worse
Male,26,25-34,Strong Democrat,Not very strong Liberal,Graduate degree,,Black,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,Yes,Yes,Yes,No,No,Worse
Male,50,45-54,Strong Democrat,DON'T KNOW/REFUSED,High school or less,,Black,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Disagree,DON'T KNOW/REFUSED,Disagree,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,No,No,No,Worse
Male,34,25-34,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,Yes,Yes,Yes,Yes,Better
Male,33,25-34,Strong Democrat,Not Very Strong Conservative,Graduate degree,,Black,,Yes,Yes,Yes,No,Agree,Agree,DON'T KNOW/REFUSED,Yes,No,No,No,No,No,DON'T KNOW/REFUSED
Male,38,35-44,Not very strong Democrat,Moderate,High school or less,,Latino,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,No,Yes,No,No,No,DON'T KNOW/REFUSED
Male,78,65+,Not very strong Democrat,Strong Liberal,High school or less,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,Yes,DON'T KNOW/REFUSED,Yes,Yes,Yes,No,Better
Female,52,45-54,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,41,35-44,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,No,No,Better
Female,64,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Male,50,45-54,Strong Democrat,Not very strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,Yes,DON'T KNOW/REFUSED,Yes,No,Yes,Worse
Male,38,35-44,Not very strong Democrat,Moderate,College degree,,Latino,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,Yes,Yes,No,Better
Male,52,45-54,Strong Democrat,Moderate,High school or less,,Black,,Yes,No,Yes,Yes,Agree,Agree,Agree,Yes,No,No,Yes,Yes,No,Worse
Male,38,35-44,Not very strong Democrat,Moderate,Some college,,Black,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,No,No,No,No,Yes,DON'T KNOW/REFUSED
Male,33,25-34,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Disagree,No,No,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED
Male,35,35-44,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,No,Disagree,Agree,Agree,Yes,No,Yes,No,Yes,Yes,DON'T KNOW/REFUSED
Male,31,25-34,Strong Democrat,Not very strong Liberal,College degree,,Latino,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,No,No,No,Yes,No,DON'T KNOW/REFUSED
Male,52,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,No,Yes,No,Disagree,Agree,Agree,Yes,Yes,No,No,Yes,Yes,Worse
Male,54,45-54,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,No,Yes,Yes,Yes,Yes,No,Worse
Male,33,25-34,Not very strong Democrat,Not very strong Liberal,High school or less,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,No,No,No,DON'T KNOW/REFUSED
Female,26,25-34,Strong Democrat,Strong Liberal,Some college,,Other,Native American,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Male,40,35-44,Not very strong Democrat,Not very strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,No,No,No,No,Worse
Male,33,25-34,Not very strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Disagree,Agree,Agree,Yes,Yes,Yes,DON'T KNOW/REFUSED,No,No,DON'T KNOW/REFUSED
Female,64,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,No,DON'T KNOW/REFUSED,No,No,DON'T KNOW/REFUSED
Male,27,25-34,Strong Democrat,Not very strong Liberal,Some college,,Latino,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,No,Yes,No,No,DON'T KNOW/REFUSED
Male,32,25-34,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,Yes,Yes,Yes,Worse
Male,40,35-44,Not very strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,No,Agree,Disagree,Agree,Yes,Yes,Yes,No,Yes,No,Better
Male,38,35-44,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,No,No,Yes,Yes,Yes,Worse
Male,54,45-54,Strong Democrat,Strong Conservative,Some college,,Black,,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,No,No,Yes,Yes,No,Yes,Worse
Male,68,65+,Strong Democrat,Moderate,Some college,,Black,,Yes,Yes,Yes,Yes,Agree,Disagree,Disagree,Yes,Yes,No,Yes,No,Yes,Worse
Male,71,65+,Strong Democrat,Strong Conservative,Some college,,White,,Yes,No,Yes,Yes,Agree,Agree,Agree,No,Yes,No,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,21,18-24,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,No,Yes,Yes,No,No,No,DON'T KNOW/REFUSED
Male,62,55-64,Not very strong Democrat,Moderate,Some college,,Black,,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,Yes,Yes,No,No,Yes,Yes,Worse
Female,43,35-44,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,No,No,No,No,No,No,DON'T KNOW/REFUSED
Female,20,18-24,Strong Democrat,Strong Liberal,College degree,,Asian,,Yes,Yes,Yes,No,Agree,Agree,Agree,Yes,No,No,No,No,No,DON'T KNOW/REFUSED
Male,57,55-64,Strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,Agree,DON'T KNOW/REFUSED,Agree,Yes,Yes,No,Yes,Yes,No,DON'T KNOW/REFUSED
Female,27,25-34,Strong Democrat,Strong Liberal,College degree,,Latino,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,Yes,No,No,Yes,No,DON'T KNOW/REFUSED
Male,60,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Yes,No,Yes,No,Agree,Agree,Agree,No,Yes,Yes,No,No,Yes,Better
Female,42,35-44,Strong Democrat,Moderate,Some college,,White,,Yes,Yes,No,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,No,No,Worse
Female,55,55-64,Strong Democrat,Moderate,Some college,,White,,Yes,No,Yes,No,Agree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,Worse
Male,50,45-54,Strong Democrat,Strong Liberal,College degree,,Black,,Yes,Yes,No,Yes,Disagree,Disagree,Disagree,No,No,Yes,No,No,No,Worse
Female,45,45-54,Strong Democrat,Moderate,College degree,,Black,,DON'T KNOW/REFUSED,No,Yes,No,Agree,Agree,Agree,DON'T KNOW/REFUSED,No,No,No,No,No,DON'T KNOW/REFUSED
Female,36,35-44,Strong Democrat,Strong Liberal,Graduate degree,,Latino,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,No,Yes,Yes,No,DON'T KNOW/REFUSED
Male,55,55-64,Strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Agree,Yes,Yes,DON'T KNOW/REFUSED,Yes,No,No,DON'T KNOW/REFUSED
Female,60,55-64,Not very strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,No,DON'T KNOW/REFUSED,Agree,Disagree,No,No,DON'T KNOW/REFUSED,No,Yes,Yes,Worse
Female,22,18-24,Strong Democrat,Strong Liberal,College degree,,Latino,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Disagree,Agree,No,No,No,Yes,Yes,No,Better
Male,82,65+,Strong Democrat,DON'T KNOW/REFUSED,Graduate degree,,Black,,DON'T KNOW/REFUSED,No,Yes,Yes,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Female,50,45-54,Strong Democrat,Moderate,Some college,,DON'T KNOW/REFUSED,,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,No,No,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,57,55-64,Not very strong Democrat,Not Very Strong Conservative,Some college,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,Yes,Yes,No,No,No,Better
Female,57,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,No,No,No,Agree,Agree,Agree,Yes,Yes,No,Yes,No,No,Worse
Male,67,65+,Not very strong Democrat,Not Very Strong Conservative,High school or less,,White,,No,No,Yes,No,Disagree,Disagree,Agree,No,No,No,No,Yes,Yes,Better
Male,52,45-54,Strong Democrat,Strong Conservative,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,No,DON'T KNOW/REFUSED,No,Yes,Worse
Female,47,45-54,Not very strong Democrat,Not very strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,No,Disagree,Agree,Agree,No,Yes,Yes,No,Yes,No,DON'T KNOW/REFUSED
Female,41,35-44,Strong Democrat,DON'T KNOW/REFUSED,Some college,,Black,,Yes,Yes,Yes,No,Disagree,Disagree,Disagree,No,No,No,No,No,No,Worse
Male,66,65+,Strong Democrat,Moderate,High school or less,,Other,african american,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,No,Yes,Yes,No,No,No,Worse
Female,30,25-34,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,DON'T KNOW/REFUSED,Yes,Yes,Yes,Yes,No,Better
Female,71,65+,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,Worse
Female,38,35-44,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,No,Yes,Yes,No,Better
Female,40,35-44,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,No,No,No,No,No,DON'T KNOW/REFUSED
Female,36,35-44,Strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,No,Agree,Agree,Disagree,No,No,No,No,No,No,DON'T KNOW/REFUSED
Female,50,45-54,Not very strong Democrat,Strong Conservative,Some college,,Latino,,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Yes,No,Worse
Male,55,55-64,Strong Democrat,Strong Liberal,College degree,,DON'T KNOW/REFUSED,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,No,Yes,DON'T KNOW/REFUSED
Female,62,55-64,Strong Democrat,Strong Liberal,College degree,,Black,,Yes,Yes,Yes,No,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,No,No,DON'T KNOW/REFUSED
Female,75,65+,Strong Democrat,Not Very Strong Conservative,High school or less,,White,,Yes,Yes,Yes,No,Agree,Disagree,Disagree,No,No,No,No,No,Yes,Worse
Female,64,55-64,Strong Democrat,Not Very Strong Conservative,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED
Female,66,65+,Strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,No,Yes,DON'T KNOW/REFUSED,No,No,Worse
Male,37,35-44,Strong Democrat,Strong Liberal,High school or less,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,Yes,Yes,No,No,Yes,No,DON'T KNOW/REFUSED
Male,29,25-34,Strong Democrat,Strong Liberal,Graduate degree,,Latino,,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Male,63,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,No,No,Yes,Yes,No,DON'T KNOW/REFUSED
Female,32,25-34,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,No,Yes,No,Better
Female,70,65+,Strong Democrat,Not very strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,Yes,No,No,No,Yes,Worse
Female,52,45-54,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,Yes,Yes,Yes,No,No,No,Worse
Male,40,35-44,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,Yes,No,Yes,DON'T KNOW/REFUSED,No,No,Worse
Male,65,65+,Not very strong Democrat,Not very strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Agree,DON'T KNOW/REFUSED,Agree,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,20,18-24,Not very strong Democrat,Not very strong Liberal,Some college,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,No,Yes,No,No,Yes,No,DON'T KNOW/REFUSED
Male,57,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,DON'T KNOW/REFUSED,No,No,Yes,No,DON'T KNOW/REFUSED
Female,53,45-54,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,No,Disagree,Disagree,Agree,Yes,No,Yes,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Male,81,65+,Strong Democrat,Strong Liberal,High school or less,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,Worse
Female,73,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,DON'T KNOW/REFUSED,No,Yes,No,DON'T KNOW/REFUSED
Female,49,45-54,Not very strong Democrat,Moderate,College degree,,White,,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Yes,Yes,No,Yes,Yes,No,DON'T KNOW/REFUSED
Female,46,45-54,Strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,Yes,Yes,Yes,Yes,Yes,Better
Female,72,65+,Strong Democrat,Moderate,College degree,,White,,Yes,No,DON'T KNOW/REFUSED,Yes,Agree,Disagree,Agree,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED
Female,35,35-44,Strong Democrat,Strong Conservative,High school or less,,Latino,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,No,No,No,Yes,No,Worse
Female,58,55-64,Strong Democrat,Moderate,High school or less,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Disagree,DON'T KNOW/REFUSED,No,Yes,DON'T KNOW/REFUSED,No,DON'T KNOW/REFUSED,Worse
Female,42,35-44,Not very strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,Yes,No,Yes,No,No,DON'T KNOW/REFUSED
Female,21,18-24,Strong Democrat,Moderate,High school or less,,DON'T KNOW/REFUSED,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,No,No,Yes,No,No,Better
Female,49,45-54,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Female,19,18-24,Not very strong Democrat,DON'T KNOW/REFUSED,Some college,,Other,Black and Asian,Yes,Yes,Yes,Yes,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,Better
Female,75,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Agree,Yes,Yes,Yes,No,No,No,DON'T KNOW/REFUSED
Male,50,45-54,Strong Democrat,Moderate,Some college,,Black,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Disagree,No,No,No,Yes,DON'T KNOW/REFUSED,Yes,Worse
Female,47,45-54,Strong Democrat,Moderate,Graduate degree,,DON'T KNOW/REFUSED,,Yes,Yes,No,Yes,Agree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,Worse
Male,72,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,No,Yes,No,No,Worse
Female,35,35-44,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,DON'T KNOW/REFUSED,Agree,Yes,Yes,No,Yes,Yes,No,DON'T KNOW/REFUSED
Female,35,35-44,Strong Democrat,Strong Liberal,Graduate degree,,White,,DON'T KNOW/REFUSED,Yes,Yes,No,Agree,Agree,Agree,Yes,No,No,No,Yes,No,DON'T KNOW/REFUSED
Female,66,65+,Not very strong Democrat,Strong Conservative,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,Yes,No,Yes,Better
Female,65,65+,Strong Democrat,Strong Conservative,High school or less,,Black,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Male,53,45-54,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,No,No,Worse
Female,52,45-54,Strong Democrat,Strong Liberal,Graduate degree,,Black,,Yes,No,Yes,No,Disagree,Agree,Disagree,No,No,No,No,No,No,DON'T KNOW/REFUSED
Female,23,18-24,Strong Democrat,Moderate,Some college,,Latino,,Yes,No,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,No,Yes,Worse
Male,64,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,No,Yes,Yes,No,Worse
Male,59,55-64,Strong Democrat,Strong Liberal,College degree,,Black,,Yes,No,Yes,No,Disagree,Agree,Disagree,No,Yes,No,Yes,No,No,DON'T KNOW/REFUSED
Female,35,35-44,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,No,Yes,Yes,Yes,No,Worse
Female,28,25-34,Not very strong Democrat,Moderate,College degree,,Other,Bi-Racial,Yes,Yes,Yes,No,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,Worse
Female,32,25-34,Strong Democrat,Strong Liberal,College degree,,Other,Black Hispanic,Yes,Yes,Yes,Yes,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Female,64,55-64,Strong Democrat,DON'T KNOW/REFUSED,Graduate degree,,White,,Yes,Yes,Yes,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,Agree,Agree,No,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,DON'T KNOW/REFUSED,No,No,DON'T KNOW/REFUSED
Female,18,18-24,Strong Democrat,Strong Liberal,Some college,,Asian,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,No,No,Yes,No,No,DON'T KNOW/REFUSED
Female,50,45-54,Strong Democrat,Strong Liberal,Graduate degree,,DON'T KNOW/REFUSED,,Yes,No,No,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,No,No,Worse
Female,52,45-54,Strong Democrat,DON'T KNOW/REFUSED,College degree,,Black,,Yes,Yes,Yes,No,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Male,62,55-64,Not very strong Democrat,Moderate,Some college,,White,,Yes,Yes,Yes,No,Disagree,Agree,Disagree,No,No,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED
Male,63,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,No,Disagree,Agree,Agree,Yes,No,No,Yes,Yes,No,Worse
Female,54,45-54,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,Yes,DON'T KNOW/REFUSED,Agree,Agree,Yes,Yes,Yes,Yes,No,Yes,DON'T KNOW/REFUSED
Female,65,65+,Strong Democrat,Moderate,College degree,,Black,,Yes,Yes,Yes,No,Disagree,Disagree,Agree,No,Yes,Yes,No,No,Yes,DON'T KNOW/REFUSED
Male,65,65+,Strong Democrat,Moderate,Some college,,Black,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,DON'T KNOW/REFUSED,Yes,No,No,No,No,Worse
Female,79,65+,Strong Democrat,Moderate,Some college,,Black,,Yes,No,Yes,Yes,Agree,Agree,Agree,No,Yes,No,Yes,No,Yes,Better
Male,64,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,No,No,Yes,No,No,Better
Male,58,55-64,Not very strong Democrat,Not Very Strong Conservative,Graduate degree,,White,,No,Yes,Yes,No,Disagree,Agree,Agree,No,No,No,No,No,Yes,Worse
Male,55,55-64,Strong Democrat,Moderate,High school or less,,Black,,No,No,Yes,Yes,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,No,No,DON'T KNOW/REFUSED
Female,61,55-64,Not very strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,Yes,Yes,No,No,No,Worse
Female,69,65+,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Yes,Yes,Yes,No,Yes,Yes,DON'T KNOW/REFUSED
Male,32,25-34,Strong Democrat,Strong Liberal,Graduate degree,,Latino,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,Yes,No,Yes,Yes,No,Better
Male,73,65+,Strong Democrat,Moderate,High school or less,,Black,,Yes,Yes,No,DON'T KNOW/REFUSED,Disagree,Agree,Disagree,No,No,Yes,Yes,Yes,Yes,Better
Female,75,65+,Strong Democrat,Strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Male,59,55-64,Strong Democrat,Strong Liberal,Some college,,Latino,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,No,No,Better
Female,50,45-54,Not very strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,DON'T KNOW/REFUSED,Agree,Yes,No,Yes,DON'T KNOW/REFUSED,Yes,No,DON'T KNOW/REFUSED
Female,58,55-64,Not very strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Disagree,Agree,Agree,DON'T KNOW/REFUSED,Yes,Yes,Yes,No,No,Better
Female,54,45-54,Strong Democrat,DON'T KNOW/REFUSED,Some college,,Black,,No,Yes,Yes,Yes,Disagree,DON'T KNOW/REFUSED,Disagree,No,No,No,No,No,No,DON'T KNOW/REFUSED
Female,44,35-44,Strong Democrat,Moderate,Some college,,Black,,Yes,No,Yes,Yes,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,No,Yes,Worse
Female,38,35-44,Strong Democrat,Moderate,Graduate degree,,White,,Yes,Yes,Yes,No,Disagree,Disagree,Agree,Yes,No,Yes,Yes,No,No,Worse
Female,37,35-44,Strong Democrat,Strong Liberal,Graduate degree,,Asian,,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Yes,Yes,No,No,Yes,No,Better
Male,21,18-24,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,Yes,Agree,Disagree,Agree,Yes,Yes,No,Yes,Yes,No,Better
Male,70,65+,Strong Democrat,Not very strong Liberal,Graduate degree,,Black,,Yes,No,Yes,No,Disagree,Disagree,Disagree,Yes,No,No,No,Yes,Yes,Worse
Female,46,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,No,No,Yes,No,Yes,Yes,Worse
Female,70,65+,Strong Democrat,Strong Liberal,Some college,,White,,Yes,Yes,Yes,No,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,DON'T KNOW/REFUSED
Female,71,65+,Strong Democrat,Not very strong Liberal,College degree,,White,,Yes,Yes,Yes,Yes,Agree,Agree,Agree,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED,Yes,Yes,DON'T KNOW/REFUSED
Male,62,55-64,Strong Democrat,Moderate,Some college,,Latino,,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Yes,DON'T KNOW/REFUSED,No,No,DON'T KNOW/REFUSED,No,Worse
Male,80,65+,Not very strong Democrat,Moderate,Some college,,Latino,,Yes,No,Yes,No,Agree,Agree,Agree,No,Yes,Yes,Yes,Yes,Yes,Worse
